iter	QueryRMSE
0	28.44802343
1	28.39912679
2	28.35653313
3	28.31919238
4	28.288455
5	28.26231057
6	28.23907364
7	28.21812071
8	28.19899992
9	28.18183362
10	28.16601705
11	28.15111328
12	28.14068832
13	28.12963303
14	28.118208
15	28.10826027
16	28.09819994
17	28.09023636
18	28.0834772
19	28.07676851
20	28.07020339
21	28.06509116
22	28.05969252
23	28.05433381
24	28.05035725
25	28.04667567
26	28.04213418
27	28.03823787
28	28.03402796
29	28.02924213
30	28.02507436
31	28.02163555
32	28.01757853
33	28.01256112
34	28.00751919
35	28.00339918
36	27.99796377
37	27.99592864
38	27.99267039
39	27.98928732
40	27.98576073
41	27.98144833
42	27.97834772
43	27.97448486
44	27.97183171
45	27.96941116
46	27.9666604
47	27.96358804
48	27.96179329
49	27.95966833
50	27.95698512
51	27.95401511
52	27.95174877
53	27.94840062
54	27.94589828
55	27.94373597
56	27.93949811
57	27.93797856
58	27.93611484
59	27.93450035
60	27.93082719
61	27.92846169
62	27.92594759
63	27.92378748
64	27.92044097
65	27.91819561
66	27.91513289
67	27.91356833
68	27.91147964
69	27.90948811
70	27.90658168
71	27.90568561
72	27.90435767
73	27.90266645
74	27.90071799
75	27.89886551
76	27.89725136
77	27.89482309
78	27.89238462
79	27.88995468
80	27.8873397
81	27.88454462
82	27.88174052
83	27.88047264
84	27.87799419
85	27.87617019
86	27.87371885
87	27.87237314
88	27.87041256
89	27.86928289
90	27.8675408
91	27.86499996
92	27.86267512
93	27.8603451
94	27.85815489
95	27.85647212
96	27.85444666
97	27.85275741
98	27.85151823
99	27.84978879
100	27.84840691
101	27.84662349
102	27.8445823
103	27.84206813
104	27.84002536
105	27.83756082
106	27.83692526
107	27.83407507
108	27.83208927
109	27.82965031
110	27.82829747
111	27.82693579
112	27.82624367
113	27.82593452
114	27.82409584
115	27.82128314
116	27.82019654
117	27.81799942
118	27.81607132
119	27.81396779
120	27.81113027
121	27.80934697
122	27.80859805
123	27.8068246
124	27.80452121
125	27.80328113
126	27.80148355
127	27.79998151
128	27.79869738
129	27.79662761
130	27.7951015
131	27.79368557
132	27.79190491
133	27.78993615
134	27.78759
135	27.7855006
136	27.78325185
137	27.78204968
138	27.78000124
139	27.77744612
140	27.77550518
141	27.7741685
142	27.77168684
143	27.77011295
144	27.76850762
145	27.76850637
146	27.76721576
147	27.76566546
148	27.76392063
149	27.76179182
150	27.76018099
151	27.75843707
152	27.75819116
153	27.75647347
154	27.75533915
155	27.75374928
156	27.7521154
157	27.75080772
158	27.74911467
159	27.74759724
160	27.74722446
161	27.74530399
162	27.74283983
163	27.74080105
164	27.73894292
165	27.7366929
166	27.73593072
167	27.73522879
168	27.73410616
169	27.73404714
170	27.7340484
171	27.73403835
172	27.73156189
173	27.7291593
174	27.72808667
175	27.7265279
176	27.72652538
177	27.72542125
178	27.723998
179	27.72209351
180	27.72089874
181	27.71909707
182	27.71763831
183	27.71652126
184	27.715232
185	27.71304541
186	27.71091521
187	27.7099022
188	27.70931525
189	27.70780066
190	27.70679383
191	27.70540607
192	27.70345882
193	27.70345757
194	27.70210987
195	27.70211365
196	27.69952745
197	27.69803874
198	27.6957942
199	27.69404372
200	27.69278234
201	27.69096501
202	27.68955382
203	27.68813375
204	27.68642304
205	27.68387312
206	27.68237853
207	27.68223888
208	27.6822414
209	27.68092035
210	27.68092035
211	27.68092161
212	27.67929727
213	27.67776972
214	27.67776468
215	27.6763868
216	27.67638805
217	27.67502772
218	27.67352762
219	27.6713906
220	27.66980849
221	27.66787887
222	27.66785621
223	27.66782852
224	27.66783356
225	27.66766866
226	27.66608004
227	27.66412877
228	27.66290506
229	27.66112101
230	27.66027365
231	27.65877904
232	27.65877904
233	27.65755636
234	27.65656406
235	27.6553312
236	27.65326834
237	27.6514547
238	27.65005787
239	27.64918246
240	27.64800091
241	27.64662028
242	27.64661902
243	27.64557847
244	27.64556839
245	27.64547768
246	27.64404401
247	27.64403898
248	27.6424679
249	27.64247168
250	27.64113739
251	27.63942629
252	27.63818258
253	27.63647508
254	27.63647886
255	27.63647508
256	27.63539255
257	27.63539003
258	27.63375419
259	27.63186617
260	27.63052759
261	27.62909314
262	27.62711404
263	27.62540081
