iter	Passed	Remaining
0	43	43097
1	84	41933
2	124	41325
3	161	40222
4	198	39525
5	240	39795
6	285	40450
7	330	40973
8	373	41081
9	412	40862
10	449	40450
11	499	41162
12	539	40946
13	576	40635
14	615	40419
15	652	40143
16	689	39876
17	724	39541
18	765	39526
19	802	39310
20	838	39103
21	879	39087
22	914	38863
23	952	38733
24	986	38480
25	1023	38352
26	1057	38113
27	1093	37959
28	1132	37934
29	1172	37925
30	1210	37823
31	1249	37806
32	1285	37683
33	1320	37519
34	1356	37413
35	1393	37302
36	1431	37246
37	1468	37185
38	1503	37055
39	1539	36940
40	1573	36799
41	1610	36723
42	1648	36689
43	1689	36707
44	1729	36708
45	1770	36720
46	1807	36653
47	1845	36592
48	1879	36474
49	1916	36404
50	1950	36300
51	1987	36230
52	2021	36128
53	2059	36084
54	2093	35973
55	2130	35918
56	2168	35868
57	2204	35799
58	2238	35705
59	2277	35678
60	2311	35581
61	2349	35538
62	2389	35534
63	2423	35448
64	2458	35363
65	2494	35297
66	2531	35250
67	2567	35188
68	2602	35111
69	2642	35102
70	2679	35055
71	2719	35050
72	2757	35013
73	2795	34976
74	2831	34926
75	2871	34915
76	2909	34881
77	2942	34778
78	2977	34706
79	3013	34650
80	3049	34595
81	3080	34489
82	3119	34467
83	3153	34384
84	3182	34253
85	3203	34043
86	3241	34020
87	3278	33975
88	3316	33951
89	3349	33862
90	3382	33783
91	3411	33673
92	3449	33638
93	3488	33618
94	3511	33454
95	3530	33246
96	3564	33184
97	3622	33338
98	3654	33262
99	3675	33077
100	3710	33029
101	3746	32984
102	3784	32960
103	3821	32921
104	3855	32863
105	3875	32684
106	3909	32627
107	3945	32589
108	3981	32543
109	4002	32381
110	4044	32393
111	4063	32217
112	4098	32171
113	4115	31984
114	4154	31971
115	4186	31902
116	4223	31874
117	4252	31787
118	4282	31702
119	4306	31581
120	4338	31519
121	4374	31484
122	4410	31449
123	4444	31401
124	4482	31378
125	4518	31342
126	4551	31286
127	4589	31267
128	4622	31211
129	4658	31178
130	4694	31139
131	4723	31058
132	4756	31005
133	4795	30992
134	4824	30914
135	4859	30871
136	4880	30741
137	4898	30598
138	4923	30498
139	4944	30375
140	4980	30342
141	5020	30337
142	5057	30311
143	5096	30293
144	5135	30282
145	5170	30242
146	5204	30199
147	5235	30139
148	5281	30164
149	5326	30183
150	5346	30059
151	5381	30021
152	5402	29906
153	5420	29777
154	5452	29725
155	5486	29680
156	5537	29734
157	5574	29709
158	5610	29676
159	5645	29638
160	5680	29600
161	5715	29566
162	5751	29534
163	5773	29428
164	5805	29381
165	5843	29358
166	5878	29323
167	5915	29294
168	5939	29204
169	5968	29140
170	6004	29107
171	6038	29071
172	6074	29036
173	6110	29008
174	6149	28989
175	6185	28957
176	6220	28924
177	6254	28885
178	6290	28853
179	6329	28832
180	6371	28829
181	6404	28786
182	6421	28669
183	6456	28633
184	6492	28602
185	6513	28505
186	6532	28402
187	6549	28288
188	6567	28181
189	6584	28069
190	6605	27976
191	6624	27876
192	6643	27778
193	6676	27736
194	6712	27709
195	6731	27613
196	6749	27512
