iter	QueryRMSE
0	28.63227335
1	28.57273948
2	28.52551326
3	28.48553592
4	28.44997497
5	28.41601848
6	28.38910239
7	28.36600096
8	28.34284509
9	28.32431757
10	28.30823132
11	28.2936333
12	28.27947212
13	28.267528
14	28.25677262
15	28.2478765
16	28.23848079
17	28.2318737
18	28.2221828
19	28.21475636
20	28.207792
21	28.20110859
22	28.19684963
23	28.19032293
24	28.18552015
25	28.1811032
26	28.17680663
27	28.17253906
28	28.16759854
29	28.16263738
30	28.15820695
31	28.15278787
32	28.14911027
33	28.14535673
34	28.14111037
35	28.13684728
36	28.13395207
37	28.13064449
38	28.12734889
39	28.12429922
40	28.12065874
41	28.11693979
42	28.11273
43	28.109197
44	28.10648968
45	28.10362602
46	28.10166638
47	28.09879109
48	28.09688067
49	28.09442865
50	28.09177566
51	28.08820161
52	28.0858641
53	28.08327105
54	28.08108685
55	28.07894711
56	28.07595666
57	28.074284
58	28.07235083
59	28.06825962
60	28.06620944
61	28.06430425
62	28.061899
63	28.0599563
64	28.05751718
65	28.05474531
66	28.05161329
67	28.04917717
68	28.04715539
69	28.04437877
70	28.04186009
71	28.03882347
72	28.036534
73	28.0347224
74	28.03209481
75	28.02971909
76	28.02757543
77	28.02619426
78	28.02455093
79	28.02287272
80	28.02003779
81	28.01919297
82	28.01693419
83	28.01673663
84	28.01667823
85	28.0165341
86	28.01428133
87	28.01174627
88	28.00930295
89	28.00918488
90	28.00804269
91	28.00778416
92	28.00521744
93	28.00280837
94	28.00276859
95	28.00270394
96	28.00039535
97	27.99858887
98	27.99706204
99	27.99703096
100	27.99574775
101	27.99572537
102	27.99251213
103	27.99069147
104	27.98890426
105	27.98888436
106	27.98729481
107	27.98519392
108	27.98404204
109	27.98402462
110	27.98239001
111	27.9823614
112	27.97991054
113	27.97989312
114	27.97739228
115	27.97704139
116	27.97526078
117	27.97525581
118	27.97523216
119	27.97521599
120	27.97400645
121	27.97102469
122	27.96903087
123	27.96806502
124	27.96805381
125	27.96605853
126	27.96486852
127	27.96286429
128	27.96170776
129	27.96105539
130	27.95927999
131	27.95927874
132	27.95773607
133	27.9556093
134	27.95553957
135	27.9544039
136	27.95439892
137	27.95433042
138	27.95432295
139	27.95426567
140	27.95250852
141	27.95249855
142	27.95045857
143	27.94762377
144	27.94511505
145	27.943158
146	27.94182872
147	27.94166676
148	27.94003091
149	27.93789532
150	27.93788286
151	27.93656455
152	27.93655209
153	27.93654212
154	27.93528106
155	27.93363861
156	27.93118722
157	27.92909707
158	27.92775465
159	27.92637478
160	27.92422817
161	27.92278329
162	27.92151164
163	27.92150167
164	27.92038331
165	27.9180118
