iter	Passed	Remaining
0	41	41372
1	79	39881
2	121	40237
3	162	40518
4	204	40734
5	244	40502
6	284	40289
7	323	40075
8	363	40035
9	404	40021
10	442	39800
11	488	40182
12	533	40522
13	572	40294
14	609	40047
15	650	39983
16	690	39911
17	727	39708
18	764	39463
19	806	39524
20	847	39520
21	884	39321
22	924	39278
23	966	39295
24	1001	39066
25	1039	38948
26	1080	38920
27	1122	38957
28	1161	38888
29	1197	38732
30	1238	38726
31	1274	38544
32	1312	38450
33	1350	38373
34	1387	38259
35	1425	38168
36	1459	37989
37	1497	37897
38	1535	37838
39	1573	37775
40	1611	37687
41	1650	37655
42	1684	37480
43	1720	37388
44	1761	37373
45	1797	37283
46	1833	37179
47	1874	37169
48	1906	37008
49	1942	36908
50	1977	36790
51	2013	36704
52	2047	36585
53	2081	36460
54	2118	36399
55	2157	36361
56	2194	36313
57	2231	36242
58	2266	36141
59	2302	36073
60	2338	35996
61	2375	35932
62	2413	35889
63	2449	35816
64	2484	35743
65	2520	35663
66	2558	35630
67	2593	35540
68	2627	35452
69	2664	35393
70	2705	35394
71	2741	35337
72	2777	35276
73	2810	35171
74	2853	35194
75	2893	35177
76	2927	35095
77	2964	35036
78	3002	34999
79	3040	34960
80	3073	34873
81	3110	34823
82	3148	34786
83	3186	34751
84	3225	34718
85	3264	34697
86	3304	34676
87	3344	34663
88	3383	34630
89	3419	34573
90	3455	34519
91	3497	34516
92	3534	34468
93	3574	34455
94	3608	34378
95	3643	34308
96	3702	34466
97	3742	34449
98	3792	34512
99	3829	34462
100	3864	34397
101	3898	34323
102	3936	34282
103	3972	34220
104	4013	34212
105	4052	34175
106	4087	34114
107	4122	34047
108	4158	33993
109	4196	33954
110	4229	33875
111	4264	33812
112	4297	33734
113	4331	33664
114	4368	33617
115	4407	33591
116	4444	33541
117	4482	33503
118	4520	33469
119	4559	33436
120	4594	33378
121	4632	33335
122	4666	33272
123	4704	33237
124	4742	33194
125	4781	33169
126	4815	33099
127	4851	33053
128	4885	32986
129	4919	32921
130	4956	32878
131	4996	32853
132	5031	32800
133	5066	32741
134	5102	32693
135	5139	32650
136	5174	32596
137	5209	32543
138	5248	32508
139	5287	32477
140	5326	32448
141	5360	32387
142	5399	32360
143	5434	32302
144	5471	32263
145	5506	32208
146	5541	32153
147	5577	32107
148	5612	32053
149	5650	32017
150	5685	31969
151	5722	31926
152	5758	31876
153	5793	31825
154	5831	31792
155	5865	31734
156	5905	31710
157	5942	31666
158	5981	31639
159	6018	31599
160	6054	31550
161	6091	31511
162	6138	31519
163	6179	31497
164	6215	31453
165	6255	31428
166	6292	31385
167	6325	31326
168	6362	31287
169	6395	31225
170	6431	31180
171	6469	31143
172	6506	31103
173	6545	31072
174	6584	31038
175	6621	30998
176	6654	30939
177	6690	30896
178	6731	30874
179	6770	30843
180	6805	30793
181	6844	30762
182	6881	30722
183	6915	30670
184	6951	30626
185	6984	30568
186	7022	30533
187	7058	30486
188	7097	30456
189	7134	30414
190	7176	30394
191	7207	30331
192	7245	30294
193	7284	30265
194	7320	30222
195	7359	30187
196	7392	30134
197	7426	30082
198	7464	30045
199	7504	30019
200	7544	29989
201	7581	29950
202	7618	29910
203	7654	29867
204	7690	29825
205	7723	29770
206	7761	29734
207	7801	29704
208	7835	29655
209	7869	29605
210	7909	29577
211	7944	29529
212	7981	29491
213	8018	29450
214	8053	29405
215	8077	29319
216	8115	29283
217	8149	29235
218	8189	29206
219	8223	29156
220	8260	29117
221	8296	29075
222	8327	29016
223	8361	28966
224	8415	28988
225	8453	28950
226	8488	28906
227	8526	28870
228	8563	28831
229	8600	28793
230	8636	28750
231	8672	28707
232	8706	28659
233	8740	28611
234	8778	28576
235	8817	28544
236	8857	28515
237	8892	28470
238	8924	28417
239	8962	28380
240	8994	28328
241	9032	28291
242	9070	28257
243	9104	28209
244	9143	28175
245	9182	28144
246	9216	28095
247	9252	28054
248	9288	28015
249	9348	28044
250	9388	28014
251	9427	27983
252	9463	27942
253	9498	27898
254	9535	27857
255	9573	27823
256	9616	27800
257	9650	27755
258	9686	27712
259	9721	27668
