iter	QueryRMSE
0	28.3589307
1	28.29735109
2	28.24273735
3	28.19636013
4	28.15529771
5	28.12220588
6	28.0916127
7	28.06545329
8	28.04211776
9	28.02172974
10	28.00477844
11	27.9883496
12	27.9751402
13	27.96407229
14	27.95207369
15	27.94187605
16	27.93233042
17	27.92332671
18	27.9153958
19	27.90732939
20	27.89990842
21	27.89421245
22	27.88875707
23	27.88202049
24	27.87787304
25	27.87272745
26	27.86610672
27	27.8607681
28	27.856343
29	27.85323615
30	27.84941887
31	27.84636492
32	27.84213226
33	27.838276
34	27.83361008
35	27.82922562
36	27.82718863
37	27.82321788
38	27.81918534
39	27.81597689
40	27.81161339
41	27.80817659
42	27.80578183
43	27.80194179
44	27.79825249
45	27.79474027
46	27.79230308
47	27.78893143
48	27.78695027
49	27.78424846
50	27.78171528
51	27.77898169
52	27.77586869
53	27.77313201
54	27.77061409
55	27.76844763
56	27.76538853
57	27.76295127
58	27.76103962
59	27.7574726
60	27.75471784
61	27.75285821
62	27.75082814
63	27.74804265
64	27.74565398
65	27.74256981
66	27.73953792
67	27.73707709
68	27.73513734
69	27.73246808
70	27.72978227
71	27.72661612
72	27.72384199
73	27.72267609
74	27.72001441
75	27.71767222
76	27.71607721
77	27.713371
78	27.71133678
79	27.70893365
80	27.70756769
81	27.70526333
82	27.70385829
83	27.70123997
84	27.6995612
85	27.69727501
86	27.69496352
87	27.69247865
88	27.69053075
89	27.68919526
90	27.68653789
91	27.68418031
92	27.68241011
93	27.68083693
94	27.67895476
95	27.67670454
96	27.67469399
97	27.67259036
98	27.6710857
99	27.66874691
100	27.66732243
101	27.66581748
102	27.66416797
103	27.66199444
104	27.6598622
105	27.65770969
106	27.65580962
107	27.65364548
108	27.65206689
109	27.65017145
110	27.64913695
111	27.64728406
112	27.64571139
113	27.6443071
114	27.64203519
115	27.63964741
116	27.63750842
117	27.63529632
118	27.63312051
119	27.63135711
120	27.62896086
121	27.62682858
122	27.62588882
123	27.62349336
124	27.62168907
125	27.62014263
126	27.61846396
127	27.61609554
128	27.61443551
129	27.61320081
130	27.61147011
131	27.60916403
132	27.60739532
133	27.60581912
134	27.60342569
135	27.60186185
136	27.60005237
137	27.59841027
138	27.59687385
139	27.59462071
140	27.59358413
141	27.59267472
142	27.59122239
143	27.59020079
144	27.5880756
145	27.58640255
146	27.58558992
147	27.58464875
148	27.582726
149	27.58048683
150	27.57878685
151	27.5771775
152	27.57505635
153	27.57265017
154	27.57048707
155	27.56902348
156	27.56694204
157	27.56559804
158	27.56309394
159	27.56121761
160	27.55938024
161	27.5574532
162	27.55557648
163	27.55325816
164	27.5514745
165	27.54957088
166	27.54759774
167	27.5462427
168	27.54423147
169	27.54300371
170	27.54185288
171	27.54025652
172	27.53801768
173	27.53575593
174	27.53421476
175	27.53228091
176	27.53145911
177	27.52994547
178	27.52770327
179	27.52628159
180	27.52480555
181	27.52288493
182	27.52077096
183	27.51959394
184	27.51820973
185	27.5168924
186	27.51501923
187	27.51379396
188	27.51213534
189	27.51108049
190	27.50870914
191	27.50807868
192	27.50635274
193	27.50474801
194	27.50300164
195	27.5015471
196	27.50014682
197	27.498931
198	27.49750152
199	27.49583938
200	27.49413038
201	27.492822
202	27.49099524
203	27.48972717
204	27.48831238
205	27.48719719
206	27.48601494
207	27.48367304
208	27.48277138
209	27.48101097
210	27.47891908
211	27.47750247
212	27.47607693
213	27.47484866
214	27.47344702
215	27.47343563
216	27.4712255
217	27.46960986
218	27.46808142
219	27.46702361
220	27.46596956
221	27.46474463
222	27.46407014
223	27.4636791
224	27.46214528
225	27.46026584
226	27.4591571
227	27.4573281
228	27.45573315
229	27.45379758
230	27.45250754
231	27.45128834
232	27.45047424
233	27.4493879
234	27.44767854
235	27.44587156
236	27.44408725
237	27.44311971
238	27.44299306
239	27.44085774
240	27.43979001
241	27.43829538
242	27.436693
243	27.43509052
244	27.43380847
245	27.43231859
246	27.43107188
247	27.42941079
248	27.42831981
249	27.42646087
250	27.42431412
251	27.42283259
252	27.42141308
253	27.41980084
254	27.4185954
255	27.41669396
256	27.41491283
257	27.41360575
258	27.41227071
259	27.410928
