Ticker,Qty
4540 TT,6000
4541 TT,11000
4552 TT,28000
4564 TT,11000
4566 TT,6000
4568 TT,7000
4581 TT,10000
4706 TT,10000
4707 TT,141000
4711 TT,8000
4721 TT,8000
4735 TT,8000
4737 TT,9000
4743 TT,26000
4744 TT,6000
4745 TT,39000
4747 TT,165000
4754 TT,10000
4755 TT,77000
4767 TT,97000
4904 TT,51000
4907 TT,7000
4923 TT,11000
4933 TT,17000
4939 TT,29000
4956 TT,58000
4976 TT,8000
4979 TT,64000
4989 TT,117000
4999 TT,48000
5011 TT,7000
5014 TT,122000
5015 TT,32000
5203 TT,8000
5215 TT,21000
5243 TT,41000
5251 TT,7000
5258 TT,6000
5263 TT,304000
5285 TT,14000
5287 TT,8000
5291 TT,10000
5309 TT,8000
5315 TT,65000
5328 TT,7000
5351 TT,63000
5371 TT,56000
5392 TT,19000
5425 TT,36000
5438 TT,7000
5450 TT,13000
5452 TT,42000
5457 TT,9000
5469 TT,188000
5471 TT,44000
5489 TT,30000
5490 TT,11000
5498 TT,96000
5508 TT,7000
5511 TT,36000
5512 TT,62000
5515 TT,399000
5521 TT,199000
5522 TT,6000
5531 TT,69000
5534 TT,12000
5536 TT,34000
5538 TT,6000
5546 TT,7000
5603 TT,7000
5607 TT,21000
5608 TT,44000
5864 TT,6000
5876 TT,35000
5880 TT,2079000
5905 TT,26000
6015 TT,37000
6023 TT,9000
6026 TT,117000
6104 TT,27000
6108 TT,9000
6115 TT,87000
6120 TT,122000
6122 TT,21000
6123 TT,23000
6127 TT,22000
6129 TT,27000
6136 TT,33000
6138 TT,18000
6139 TT,16000
6143 TT,10000
6146 TT,15000
6150 TT,8000
6153 TT,125000
6160 TT,14000
6163 TT,16000
6166 TT,42000
6167 TT,19000
6168 TT,47000
6170 TT,53000
6173 TT,20000
6175 TT,22000
6177 TT,56000
6179 TT,6000
6180 TT,6000
6182 TT,108000
6185 TT,9000
6186 TT,79000
6187 TT,12000
6191 TT,709000
6192 TT,18000
6195 TT,31000
6201 TT,14000
6207 TT,8000
6209 TT,43000
6216 TT,32000
6217 TT,29000
6220 TT,31000
6221 TT,9000
6223 TT,8000
6224 TT,91000
6230 TT,21000
6234 TT,17000
6237 TT,18000
6243 TT,8000
6244 TT,56000
6245 TT,30000
6261 TT,28000
6265 TT,8000
6270 TT,18000
6274 TT,12000
6279 TT,63000
6284 TT,8000
6285 TT,41000
6294 TT,38000
6411 TT,17000
6416 TT,13000
6432 TT,17000
6456 TT,60000
6462 TT,8000
6470 TT,13000
6485 TT,17000
6492 TT,7000
6494 TT,10000
6499 TT,16000
6506 TT,12000
6508 TT,23000
6509 TT,57000
6517 TT,7000
6531 TT,20000
6532 TT,11000
6534 TT,25000
6547 TT,56000
6578 TT,92000
6582 TT,10000
6589 TT,19000
6603 TT,11000
6605 TT,12000
6616 TT,25000
6672 TT,10000
6684 TT,21000
6706 TT,6000
6756 TT,18000
6790 TT,22000
6901 TT,10000
6914 TT,13000
8024 TT,13000
8027 TT,14000
8042 TT,26000
8043 TT,30000
8044 TT,14000
8048 TT,7000
8050 TT,54000
8066 TT,16000
8072 TT,6000
8074 TT,12000
8076 TT,13000
8081 TT,32000
8092 TT,12000
8103 TT,57000
8104 TT,26000
8105 TT,50000
8107 TT,22000
8110 TT,248000
8114 TT,7000
8147 TT,8000
8171 TT,6000
8234 TT,9000
